Anti-Malware Logs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Summary,807 out of exported 807 entries are found and exported.,,,,,,,,,,,
Filter,,,,,,,,,,,,
Time,"2024-11-01 00:00:00 - 2024-12-01 23:59:59
",,,,,,,,,,,
Sort by time,Descending,,,,,,,,,,,
Endpoint,All,,,,,,,,,,,
IP Address,All,,,,,,,,,,,
Event Type,All,,,,,,,,,,,
Status,All,,,,,,,,,,,
Result,,,,,,,,,,,,
No.,Time Detected,Endpoint,IP Address,Type,Threat,Infected File,Time Created ,File MD5,Status,Time Fixed,Engine,Antivirus database version
404,2024-11-11 13:57:15,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-11 13:31:09,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-11 13:57:15,File Reputation Database,20180825222616
405,2024-11-11 08:34:07,6F-PC-023,172.22.66.51,Trojan,Trojan.Script.108595,f:\autorun.inf_backup,2020-08-12 20:55:19,2F38F9F8534BA776348702EAD75F5F3E,Pending,2024-11-11 08:34:07,Gene Analysis Engine,20241106145024
406,2024-11-11 08:16:24,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-11 08:19:54,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-11 08:16:24,File Reputation Database,20180825222616
407,2024-11-11 08:15:10,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-11 08:18:49,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-11 08:15:10,File Reputation Database,20180825222616
408,2024-11-11 08:14:10,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-11 08:17:34,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-11 08:14:10,File Reputation Database,20180825222616
409,2024-11-11 08:03:02,6F-PC-023,172.22.66.51,Trojan,Trojan.Script.108595,f:\autorun.inf_backup,2020-08-12 20:55:19,2F38F9F8534BA776348702EAD75F5F3E,Pending,2024-11-11 08:03:02,Gene Analysis Engine,20241106145024
410,2024-11-10 13:14:56,2F-PC-088,172.22.35.18,Trojan,Trojan.Autoit.BNV,e:\skypee\googleupdate.a3x,2023-12-24 12:28:33,84A5746202DECEE74D907A37015A01D4,Pending,2024-11-10 13:14:56,Gene Analysis Engine,20241104152256
411,2024-11-08 13:36:28,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\windows\temp\onedrive.exe,2023-09-01 01:31:13,08B5889AF26C2C16AC90F99F5B36481C,Pending,2024-11-08 13:36:28,Sangfor Engine Zero,20241104152256
412,2024-11-08 13:36:28,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2023-08-30 03:38:46,65E7F6E26F792FA94E8AF5371FD6331A,Pending,2024-11-08 13:36:28,Sangfor Engine Zero,20241104152256
413,2024-11-08 13:36:28,hpkkplazadb,172.22.36.13,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 06:18:22,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Gene Analysis Engine,20241126125034
414,2024-11-08 13:14:05,RIMAGE,172.22.68.34,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2024-08-16 15:06:56,E943443660965C93A2CA426BF840AE6C,Pending,2024-11-08 13:14:05,Sangfor Engine Zero,20241104152256
415,2024-11-08 13:13:39,4F-PC-027,172.22.61.195,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:21,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Gene Analysis Engine,20241126125034
416,2024-11-08 13:06:08,4F-PC-021,172.22.61.138,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:23,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:21,Gene Analysis Engine,20241126125034
417,2024-11-08 13:00:18,2F-PC-196,172.22.59.12,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:11,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Gene Analysis Engine,20241126125034
418,2024-11-08 12:58:39,4F-PC-026,172.22.61.140,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:01,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Sangfor Cloud-Based Antivirus Engine,20241126125034
419,2024-11-08 12:57:39,3F-PC-118,172.22.4.102,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:54,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Gene Analysis Engine,20241126125034
420,2024-11-08 12:56:33,1F-PC-139,172.22.53.196,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:16,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:21,Gene Analysis Engine,20241116101146
421,2024-11-08 12:56:17,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-08 12:59:27,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-08 12:56:17,File Reputation Database,20180825222616
422,2024-11-08 12:56:16,4F-PC-040,172.22.60.5,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:26,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Gene Analysis Engine,20241126125034
423,2024-11-08 12:54:24,4F-PC-041,172.22.60.4,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:25,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:06,Sangfor Cloud-Based Antivirus Engine,20241126125034
424,2024-11-08 12:54:22,ZECONNB3A,192.168.0.201,Trojan,Trojan.GenericKDS.61000590,c:\users\faiz\appdata\local\updates\windows.bat ,2024-11-07 08:35:29,BF520F8B27224F79EEBE30E6D6BC4DD7,Pending,2024-11-08 12:54:22,Gene Analysis Engine,20241104152256
425,2024-11-08 12:54:22,ZECONNB3A,192.168.0.201,Trojan,Trojan.GenericKD.62324674,c:\users\faiz\appdata\local\updates\run.vbs,2022-05-10 00:40:26,2945C117350C3403F73F6E6A32A30A77,Pending,2024-11-08 12:54:22,Gene Analysis Engine,20241104152256
426,2024-11-08 12:54:22,ZECONNB3A,192.168.0.201,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:39:27,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:26,Gene Analysis Engine,20241120110503
427,2024-11-08 12:54:18,4F-PC-007,172.22.61.144,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-05 10:41:46,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:20,Sangfor Cloud-Based Antivirus Engine,20241126125034
428,2024-11-08 12:54:06,2F-PC-200,172.22.58.201,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:30,Gene Analysis Engine,20241126125034
429,2024-11-08 12:53:48,4F-PC-025,172.22.61.150,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:19,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Sangfor Cloud-Based Antivirus Engine,20241126125034
430,2024-11-08 12:53:24,3F-PC-084,172.22.64.12,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:14,C112A7B5E5320C16AC6D5BF2D3B63D53,Pending,2024-11-08 12:53:24,Gene Analysis Engine,20241104152256
431,2024-11-08 12:53:17,2F-PC-040,172.22.57.189,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:36,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Gene Analysis Engine,20241126125034
432,2024-11-08 12:51:51,hpkkplazaapp,172.22.36.12,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2024-08-16 17:18:26,65E7F6E26F792FA94E8AF5371FD6331A,Pending,2024-11-08 12:51:51,Sangfor Engine Zero,20241104152256
433,2024-11-08 12:49:21,2F-PC-073,172.22.57.192,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:07,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Sangfor Cloud-Based Antivirus Engine,20241126125034
434,2024-11-08 12:48:19,2F-PC-226,172.22.58.5,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:33,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:34,Gene Analysis Engine,20241126125034
435,2024-11-08 12:47:16,4F-PC-005,172.22.61.133,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:21,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:24,Gene Analysis Engine,20241126125034
436,2024-11-08 12:45:18,1F-PC-044,172.22.53.24,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:44,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Sangfor Cloud-Based Antivirus Engine,20241126125034
437,2024-11-08 12:43:49,3F-PC-108,172.22.64.136,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:45,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Gene Analysis Engine,20241126125034
438,2024-11-08 12:43:27,2F-PC-177,172.22.57.5,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:49:37,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:20,Sangfor Cloud-Based Antivirus Engine,20241126125034
439,2024-11-08 12:43:08,2F-PC-206,172.22.59.15,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:11,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:34,Gene Analysis Engine,20241126125034
440,2024-11-08 12:42:54,2F-PC-205,172.22.58.194,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:12,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-11-29 15:37:58,Gene Analysis Engine,20241126125034
441,2024-11-08 12:42:49,4F-PC-008,172.22.61.194,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:08,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
442,2024-11-08 12:41:42,1F-PC-068,172.22.53.85,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:44,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Gene Analysis Engine,20241126125034
443,2024-11-08 12:41:29,1F-PC-205,172.22.54.234,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:47,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:51,Gene Analysis Engine,20241126125034
444,2024-11-08 12:41:01,4F-PC-043,172.22.60.6,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 09:05:47,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:08,Gene Analysis Engine,20241126125034
445,2024-11-08 12:40:57,1F-PC-120,172.22.53.151,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:45,Sangfor Cloud-Based Antivirus Engine,20241126125034
446,2024-11-08 12:40:55,2F-PC-061,172.22.35.3,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:54,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:12,Sangfor Cloud-Based Antivirus Engine,20241126125034
447,2024-11-08 12:40:37,GF-PC-083a,172.22.59.136,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:34:34,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:44,Gene Analysis Engine,20241126125034
448,2024-11-08 12:40:33,2F-PC-041,172.22.57.203,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:49,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Sangfor Cloud-Based Antivirus Engine,20241126125034
449,2024-11-08 12:40:06,4F-PC-039,172.22.61.196,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:25,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:19,Gene Analysis Engine,20241126125034
450,2024-11-08 12:39:34,3F-PC-088,172.22.6.22,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:26,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
451,2024-11-08 12:38:12,2F-PC-065,172.22.35.9,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:54,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:21,Sangfor Cloud-Based Antivirus Engine,20241126125034
452,2024-11-08 12:37:51,4F-PC-012,172.22.61.142,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:21,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:30,Gene Analysis Engine,20241126125034
453,2024-11-08 12:37:21,2F-PC-049,172.22.57.133,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:53,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:14,Sangfor Cloud-Based Antivirus Engine,20241126125034
454,2024-11-08 12:37:21,HASIL,172.22.50.230,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:34:04,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Gene Analysis Engine,20241126125034
455,2024-11-08 12:37:03,2F-PC-094,172.22.35.130,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:38,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:41,Gene Analysis Engine,20241126125034
456,2024-11-08 12:36:48,2F-PC-044,172.22.57.138,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:50,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:17,Gene Analysis Engine,20241126125034
457,2024-11-08 12:36:45,ECG-INT1,172.22.25.34,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:12,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Sangfor Cloud-Based Antivirus Engine,20241126125034
458,2024-11-08 12:36:39,2F-PC-060,172.22.35.10,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:35,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:30:47,Sangfor Cloud-Based Antivirus Engine,20241126125034
459,2024-11-08 12:36:14,6F-PC-004,172.22.66.56,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:31,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:14,Gene Analysis Engine,20241126125034
460,2024-11-08 12:36:03,3F-PC-080,172.22.0.102,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:21,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:23,Gene Analysis Engine,20241126125034
461,2024-11-08 12:36:03,3F-PC-122,172.22.64.20,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:22:43,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:20,Gene Analysis Engine,20241126125034
462,2024-11-08 12:35:32,2F-PC-088,172.22.35.18,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Sangfor Cloud-Based Antivirus Engine,20241126125034
463,2024-11-08 12:35:27,5F-PC-065,172.22.80.10,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Sangfor Cloud-Based Antivirus Engine,20241126125034
464,2024-11-08 12:35:07,2F-PC-165,172.22.50.241,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:10,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:28,Gene Analysis Engine,20241126125034
465,2024-11-08 12:34:56,2F-PC-229,172.22.58.71,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:13,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:20,Gene Analysis Engine,20241126125034
466,2024-11-08 12:34:29,1F-PC-211,172.22.54.242,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:59,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
467,2024-11-08 12:34:20,1F-PC-207,172.22.54.233,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:48,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Gene Analysis Engine,20241126125034
468,2024-11-08 12:34:04,GF-PC-081,172.22.59.209,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:55,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:53,Gene Analysis Engine,20241126125034
469,2024-11-08 12:34:02,1F-PC-045,172.22.53.68,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:45,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Sangfor Cloud-Based Antivirus Engine,20241126125034
470,2024-11-08 12:33:53,1F-PC-063,172.22.53.8,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:42,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:15,Gene Analysis Engine,20241126125034
471,2024-11-08 12:33:43,JPP-PC-ZAINI,172.22.50.198,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:49:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:19,Gene Analysis Engine,20241126125034
472,2024-11-08 12:33:34,3F-PC-093,172.22.64.27,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:59:37,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
473,2024-11-08 12:33:14,2F-PC-146,172.22.57.3,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:11,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:23,Gene Analysis Engine,20241126125034
474,2024-11-08 12:33:09,hpkkvia2,172.22.68.10,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:21:38,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:13,Sangfor Cloud-Based Antivirus Engine,20241126125034
475,2024-11-08 12:32:47,6F-PC-065,172.22.66.151,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:32,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:21,Gene Analysis Engine,20241126125034
476,2024-11-08 12:32:44,GF-PC-048,172.22.52.126,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-13 17:09:06,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:10,Gene Analysis Engine,20241126125034
477,2024-11-08 12:32:43,6F-PC-048,172.22.66.73,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-03-14 02:05:20,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:30,Gene Analysis Engine,20241126125034
478,2024-11-08 12:32:36,5F-PC-083,172.22.80.244,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:46,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Gene Analysis Engine,20241126125034
479,2024-11-08 12:32:28,4F-PC-032,172.22.61.157,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:26,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:16,Gene Analysis Engine,20241126125034
480,2024-11-08 12:32:27,6F-PC-061,172.22.66.8,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:33,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Gene Analysis Engine,20241126125034
481,2024-11-08 12:32:25,2F-PC-053,172.22.35.137,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-06 12:05:46,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:07,Sangfor Cloud-Based Antivirus Engine,20241126125034
482,2024-11-08 12:32:25,2F-PC-052,172.22.35.6,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:33,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Gene Analysis Engine,20241126125034
483,2024-11-08 12:32:22,2F-PC-111,172.22.68.121,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:52,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Sangfor Cloud-Based Antivirus Engine,20241126125034
484,2024-11-08 12:32:09,2F-PC-050,172.22.35.15,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:50,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:28,Sangfor Cloud-Based Antivirus Engine,20241126125034
485,2024-11-08 12:32:08,GF-PC-200,172.22.54.33,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2023-08-30 05:31:26,BA416C2377A8DA430F8DE7E982714899,Pending,2024-11-08 12:32:08,Sangfor Engine Zero,20241104152256
486,2024-11-08 12:32:06,4F-NB-004,172.22.15.187,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 15:07:01,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:26,Sangfor Cloud-Based Antivirus Engine,20241126125034
